매장_id,품목_id,기간,창고_입고량
ST_102,IT_106,2024.01.1,0
ST_102,IT_106,2024.01.2,0
ST_102,IT_106,2024.01.3,0
ST_102,IT_106,2024.01.4,0
ST_102,IT_106,2024.01.5,0
ST_102,IT_107,2024.01.1,8000
ST_102,IT_107,2024.01.2,0
ST_102,IT_107,2024.01.3,0
ST_102,IT_107,2024.01.4,0
ST_102,IT_107,2024.01.5,0
ST_102,IT_108,2024.01.1,0
ST_102,IT_108,2024.01.2,0
ST_102,IT_108,2024.01.3,0
ST_102,IT_108,2024.01.4,0
ST_102,IT_108,2024.01.5,0
ST_102,IT_109,2024.01.1,0
ST_102,IT_109,2024.01.2,0
ST_102,IT_109,2024.01.3,0
ST_102,IT_109,2024.01.4,0
ST_102,IT_109,2024.01.5,0
ST_102,IT_110,2024.01.1,0
ST_102,IT_110,2024.01.2,0
ST_102,IT_110,2024.01.3,0
ST_102,IT_110,2024.01.4,0
ST_102,IT_110,2024.01.5,0
ST_102,IT_111,2024.01.1,9000
ST_102,IT_111,2024.01.2,0
ST_102,IT_111,2024.01.3,0
ST_102,IT_111,2024.01.4,0
ST_102,IT_111,2024.01.5,0
ST_102,IT_112,2024.01.1,0
ST_102,IT_112,2024.01.2,0
ST_102,IT_112,2024.01.3,0
ST_102,IT_112,2024.01.4,0
ST_102,IT_112,2024.01.5,0
ST_102,IT_113,2024.01.1,0
ST_102,IT_113,2024.01.2,0
ST_102,IT_113,2024.01.3,0
ST_102,IT_113,2024.01.4,0
ST_102,IT_113,2024.01.5,0
ST_102,IT_114,2024.01.1,0
ST_102,IT_114,2024.01.2,0
ST_102,IT_114,2024.01.3,0
ST_102,IT_114,2024.01.4,0
ST_102,IT_114,2024.01.5,0
ST_102,IT_115,2024.01.1,0
ST_102,IT_115,2024.01.2,0
ST_102,IT_115,2024.01.3,0
ST_102,IT_115,2024.01.4,0
ST_102,IT_115,2024.01.5,0
ST_102,IT_116,2024.01.1,0
ST_102,IT_116,2024.01.2,0
ST_102,IT_116,2024.01.3,0
ST_102,IT_116,2024.01.4,0
ST_102,IT_116,2024.01.5,0
ST_102,IT_117,2024.01.1,0
ST_102,IT_117,2024.01.2,0
ST_102,IT_117,2024.01.3,0
ST_102,IT_117,2024.01.4,0
ST_102,IT_117,2024.01.5,0
ST_102,IT_118,2024.01.1,0
ST_102,IT_118,2024.01.2,0
ST_102,IT_118,2024.01.3,0
ST_102,IT_118,2024.01.4,0
ST_102,IT_118,2024.01.5,0
ST_102,IT_119,2024.01.1,0
ST_102,IT_119,2024.01.2,0
ST_102,IT_119,2024.01.3,0
ST_102,IT_119,2024.01.4,0
ST_102,IT_119,2024.01.5,0
ST_102,IT_120,2024.01.1,0
ST_102,IT_120,2024.01.2,0
ST_102,IT_120,2024.01.3,0
ST_102,IT_120,2024.01.4,0
ST_102,IT_120,2024.01.5,0
ST_102,IT_121,2024.01.1,0
ST_102,IT_121,2024.01.2,0
ST_102,IT_121,2024.01.3,0
ST_102,IT_121,2024.01.4,0
ST_102,IT_121,2024.01.5,0
ST_102,IT_122,2024.01.1,0
ST_102,IT_122,2024.01.2,0
ST_102,IT_122,2024.01.3,0
ST_102,IT_122,2024.01.4,0
ST_102,IT_122,2024.01.5,0
ST_102,IT_123,2024.01.1,0
ST_102,IT_123,2024.01.2,0
ST_102,IT_123,2024.01.3,0
ST_102,IT_123,2024.01.4,0
ST_102,IT_123,2024.01.5,0
ST_102,IT_124,2024.01.1,0
ST_102,IT_124,2024.01.2,0
ST_102,IT_124,2024.01.3,0
ST_102,IT_124,2024.01.4,0
ST_102,IT_124,2024.01.5,0
ST_102,IT_125,2024.01.1,12
ST_102,IT_125,2024.01.2,0
ST_102,IT_125,2024.01.3,0
ST_102,IT_125,2024.01.4,0
ST_102,IT_125,2024.01.5,0
ST_102,IT_126,2024.01.1,12
ST_102,IT_126,2024.01.2,0
ST_102,IT_126,2024.01.3,0
ST_102,IT_126,2024.01.4,0
ST_102,IT_126,2024.01.5,0
ST_102,IT_127,2024.01.1,0
ST_102,IT_127,2024.01.2,0
ST_102,IT_127,2024.01.3,0
ST_102,IT_127,2024.01.4,0
ST_102,IT_127,2024.01.5,0
ST_102,IT_129,2024.01.1,0
ST_102,IT_129,2024.01.2,0
ST_102,IT_129,2024.01.3,0
ST_102,IT_129,2024.01.4,0
ST_102,IT_129,2024.01.5,0
ST_102,IT_130,2024.01.1,0
ST_102,IT_130,2024.01.2,0
ST_102,IT_130,2024.01.3,0
ST_102,IT_130,2024.01.4,0
ST_102,IT_130,2024.01.5,0
ST_102,IT_132,2024.01.1,0
ST_102,IT_132,2024.01.2,0
ST_102,IT_132,2024.01.3,0
ST_102,IT_132,2024.01.4,0
ST_102,IT_132,2024.01.5,0
ST_102,IT_133,2024.01.1,24
ST_102,IT_133,2024.01.2,0
ST_102,IT_133,2024.01.3,0
