매장_id,품목_id,기간,매장_발주량
ST_103,IT_170,2023.12.5,0
ST_103,IT_171,2023.12.1,0
ST_103,IT_171,2023.12.2,0
ST_103,IT_171,2023.12.3,1
ST_103,IT_171,2023.12.4,0
ST_103,IT_171,2023.12.5,0
ST_104,IT_101,2023.12.1,0
ST_104,IT_101,2023.12.2,0
ST_104,IT_101,2023.12.3,0
ST_104,IT_101,2023.12.4,0
ST_104,IT_101,2023.12.5,0
ST_104,IT_102,2023.12.1,0
ST_104,IT_102,2023.12.2,0
ST_104,IT_102,2023.12.3,0
ST_104,IT_102,2023.12.4,0
ST_104,IT_102,2023.12.5,0
ST_104,IT_103,2023.12.1,1000
ST_104,IT_103,2023.12.2,0
ST_104,IT_103,2023.12.3,0
ST_104,IT_103,2023.12.4,0
ST_104,IT_103,2023.12.5,0
ST_104,IT_104,2023.12.1,0
ST_104,IT_104,2023.12.2,0
ST_104,IT_104,2023.12.3,0
ST_104,IT_104,2023.12.4,0
ST_104,IT_104,2023.12.5,0
ST_104,IT_105,2023.12.1,1000
ST_104,IT_105,2023.12.2,0
ST_104,IT_105,2023.12.3,0
ST_104,IT_105,2023.12.4,0
ST_104,IT_105,2023.12.5,0
ST_104,IT_106,2023.12.1,0
ST_104,IT_106,2023.12.2,0
ST_104,IT_106,2023.12.3,0
ST_104,IT_106,2023.12.4,0
ST_104,IT_106,2023.12.5,0
ST_104,IT_107,2023.12.1,0
ST_104,IT_107,2023.12.2,0
ST_104,IT_107,2023.12.3,0
ST_104,IT_107,2023.12.4,0
ST_104,IT_107,2023.12.5,0
ST_104,IT_108,2023.12.1,0
ST_104,IT_108,2023.12.2,0
ST_104,IT_108,2023.12.3,0
ST_104,IT_108,2023.12.4,0
ST_104,IT_108,2023.12.5,0
ST_104,IT_109,2023.12.1,0
ST_104,IT_109,2023.12.2,0
ST_104,IT_109,2023.12.3,0
ST_104,IT_109,2023.12.4,0
ST_104,IT_109,2023.12.5,0
ST_104,IT_110,2023.12.1,0
ST_104,IT_110,2023.12.2,0
ST_104,IT_110,2023.12.3,0
ST_104,IT_110,2023.12.4,0
ST_104,IT_110,2023.12.5,0
ST_104,IT_111,2023.12.1,0
ST_104,IT_111,2023.12.2,0
ST_104,IT_111,2023.12.3,0
ST_104,IT_111,2023.12.4,0
ST_104,IT_111,2023.12.5,0
ST_104,IT_112,2023.12.1,500
ST_104,IT_112,2023.12.2,0
ST_104,IT_112,2023.12.3,500
ST_104,IT_112,2023.12.4,0
ST_104,IT_112,2023.12.5,0
ST_104,IT_113,2023.12.1,0
ST_104,IT_113,2023.12.2,0
ST_104,IT_113,2023.12.3,0
ST_104,IT_113,2023.12.4,0
ST_104,IT_113,2023.12.5,0
ST_104,IT_114,2023.12.1,0
ST_104,IT_114,2023.12.2,0
ST_104,IT_114,2023.12.3,500
ST_104,IT_114,2023.12.4,0
ST_104,IT_114,2023.12.5,0
ST_104,IT_115,2023.12.1,0
ST_104,IT_115,2023.12.2,0
ST_104,IT_115,2023.12.3,0
ST_104,IT_115,2023.12.4,0
ST_104,IT_115,2023.12.5,0
ST_104,IT_116,2023.12.1,0
ST_104,IT_116,2023.12.2,0
ST_104,IT_116,2023.12.3,0
ST_104,IT_116,2023.12.4,0
ST_104,IT_116,2023.12.5,0
ST_104,IT_117,2023.12.1,0
ST_104,IT_117,2023.12.2,0
ST_104,IT_117,2023.12.3,0
ST_104,IT_117,2023.12.4,0
ST_104,IT_117,2023.12.5,0
ST_104,IT_118,2023.12.1,0
ST_104,IT_118,2023.12.2,0
ST_104,IT_118,2023.12.3,0
ST_104,IT_118,2023.12.4,0
ST_104,IT_118,2023.12.5,0
ST_104,IT_119,2023.12.1,0
ST_104,IT_119,2023.12.2,0
ST_104,IT_119,2023.12.3,0
ST_104,IT_119,2023.12.4,0
ST_104,IT_119,2023.12.5,0
ST_104,IT_120,2023.12.1,0
ST_104,IT_120,2023.12.2,0
ST_104,IT_120,2023.12.3,0
ST_104,IT_120,2023.12.4,0
ST_104,IT_120,2023.12.5,0
ST_104,IT_121,2023.12.1,0
ST_104,IT_121,2023.12.2,0
ST_104,IT_121,2023.12.3,0
ST_104,IT_121,2023.12.4,0
ST_104,IT_121,2023.12.5,0
ST_104,IT_122,2023.12.1,0
ST_104,IT_122,2023.12.2,0
ST_104,IT_122,2023.12.3,0
ST_104,IT_122,2023.12.4,0
ST_104,IT_122,2023.12.5,0
ST_104,IT_123,2023.12.1,0
ST_104,IT_123,2023.12.2,0
ST_104,IT_123,2023.12.3,0
ST_104,IT_123,2023.12.4,0
ST_104,IT_123,2023.12.5,0
ST_104,IT_124,2023.12.1,0
ST_104,IT_124,2023.12.2,0
ST_104,IT_124,2023.12.3,0
ST_104,IT_124,2023.12.4,0
ST_104,IT_124,2023.12.5,0
ST_104,IT_125,2023.12.1,0
ST_104,IT_125,2023.12.2,0
ST_104,IT_125,2023.12.3,0
ST_104,IT_125,2023.12.4,0
ST_104,IT_125,2023.12.5,0
ST_104,IT_126,2023.12.1,0
ST_104,IT_126,2023.12.2,0
ST_104,IT_126,2023.12.3,0
ST_104,IT_126,2023.12.4,0
ST_104,IT_126,2023.12.5,0
ST_104,IT_127,2023.12.1,0
ST_104,IT_127,2023.12.2,0
ST_104,IT_127,2023.12.3,0
ST_104,IT_127,2023.12.4,0
ST_104,IT_127,2023.12.5,0
ST_104,IT_129,2023.12.1,0
ST_104,IT_129,2023.12.2,0
ST_104,IT_129,2023.12.3,0
ST_104,IT_129,2023.12.4,0
ST_104,IT_129,2023.12.5,0
ST_104,IT_130,2023.12.1,0
ST_104,IT_130,2023.12.2,0
ST_104,IT_130,2023.12.3,0
ST_104,IT_130,2023.12.4,0
ST_104,IT_130,2023.12.5,0
ST_104,IT_132,2023.12.1,2
ST_104,IT_132,2023.12.2,0
ST_104,IT_132,2023.12.3,0
ST_104,IT_132,2023.12.4,0
ST_104,IT_132,2023.12.5,0
ST_104,IT_133,2023.12.1,1
ST_104,IT_133,2023.12.2,0
ST_104,IT_133,2023.12.3,0
ST_104,IT_133,2023.12.4,0
ST_104,IT_133,2023.12.5,0
ST_104,IT_134,2023.12.1,0
ST_104,IT_134,2023.12.2,0
ST_104,IT_134,2023.12.3,0
ST_104,IT_134,2023.12.4,0
ST_104,IT_134,2023.12.5,0
ST_104,IT_137,2023.12.1,0
ST_104,IT_137,2023.12.2,0
ST_104,IT_137,2023.12.3,0
ST_104,IT_137,2023.12.4,0
ST_104,IT_137,2023.12.5,0
ST_104,IT_138,2023.12.1,0
ST_104,IT_138,2023.12.2,0
ST_104,IT_138,2023.12.3,0
ST_104,IT_138,2023.12.4,0
ST_104,IT_138,2023.12.5,0
ST_104,IT_139,2023.12.1,0
ST_104,IT_139,2023.12.2,0
ST_104,IT_139,2023.12.3,0
ST_104,IT_139,2023.12.4,0
ST_104,IT_139,2023.12.5,0
ST_104,IT_140,2023.12.1,0
ST_104,IT_140,2023.12.2,0
ST_104,IT_140,2023.12.3,1
ST_104,IT_140,2023.12.4,0
ST_104,IT_140,2023.12.5,0
ST_104,IT_141,2023.12.1,0
ST_104,IT_141,2023.12.2,0
ST_104,IT_141,2023.12.3,1
ST_104,IT_141,2023.12.4,0
ST_104,IT_141,2023.12.5,0
ST_104,IT_142,2023.12.1,0
ST_104,IT_142,2023.12.2,0
ST_104,IT_142,2023.12.3,0
ST_104,IT_142,2023.12.4,0
ST_104,IT_142,2023.12.5,0
ST_104,IT_143,2023.12.1,0
ST_104,IT_143,2023.12.2,0
ST_104,IT_143,2023.12.3,0
ST_104,IT_143,2023.12.4,0
ST_104,IT_143,2023.12.5,0
ST_104,IT_144,2023.12.1,0
ST_104,IT_144,2023.12.2,0
ST_104,IT_144,2023.12.3,0
ST_104,IT_144,2023.12.4,0
ST_104,IT_144,2023.12.5,0
ST_104,IT_145,2023.12.1,0
ST_104,IT_145,2023.12.2,0
ST_104,IT_145,2023.12.3,1
ST_104,IT_145,2023.12.4,0
ST_104,IT_145,2023.12.5,0
ST_104,IT_146,2023.12.1,0
ST_104,IT_146,2023.12.2,0
ST_104,IT_146,2023.12.3,0
ST_104,IT_146,2023.12.4,0
ST_104,IT_146,2023.12.5,0
ST_104,IT_152,2023.12.1,0
ST_104,IT_152,2023.12.2,0
ST_104,IT_152,2023.12.3,0
ST_104,IT_152,2023.12.4,0
ST_104,IT_152,2023.12.5,0
ST_104,IT_153,2023.12.1,0
ST_104,IT_153,2023.12.2,0
ST_104,IT_153,2023.12.3,0
ST_104,IT_153,2023.12.4,0
ST_104,IT_153,2023.12.5,0
ST_104,IT_154,2023.12.1,0
ST_104,IT_154,2023.12.2,0
ST_104,IT_154,2023.12.3,0
ST_104,IT_154,2023.12.4,0
ST_104,IT_154,2023.12.5,0
ST_104,IT_155,2023.12.1,0
ST_104,IT_155,2023.12.2,0
ST_104,IT_155,2023.12.3,0
ST_104,IT_155,2023.12.4,0
ST_104,IT_155,2023.12.5,0
ST_104,IT_156,2023.12.1,0
ST_104,IT_156,2023.12.2,0
ST_104,IT_156,2023.12.3,0
ST_104,IT_156,2023.12.4,0
ST_104,IT_156,2023.12.5,0
ST_104,IT_157,2023.12.1,0
ST_104,IT_157,2023.12.2,0
ST_104,IT_157,2023.12.3,1
ST_104,IT_157,2023.12.4,0
ST_104,IT_157,2023.12.5,0
ST_104,IT_158,2023.12.1,0
ST_104,IT_158,2023.12.2,1
ST_104,IT_158,2023.12.3,1
ST_104,IT_158,2023.12.4,0
ST_104,IT_158,2023.12.5,0
ST_104,IT_159,2023.12.1,0
ST_104,IT_159,2023.12.2,1
ST_104,IT_159,2023.12.3,1
ST_104,IT_159,2023.12.4,0
ST_104,IT_159,2023.12.5,0
